BASKET_ID,words
40223007302,"[847637, 919323, 981760, 1007269, 1082185, 1116074, 1133018, 5995239, 13115783]"
40234727452,"[831628, 835004, 922127, 935796, 954077, 1103247]"
40248717476,"[922127, 1007195]"
40279213145,"[860180, 901062, 904362, 926073, 945456, 953134, 1025797, 1051516, 1080331, 1082185, 1098248, 1117039, 5995859, 5996227, 5996354, 8015407, 12428141, 12428222, 12731621]"
40283937329,"[848071, 854852, 983897, 1004390]"
40341962315,"[828106, 1082185, 8015407]"
40435946504,"[823653, 1082185]"
40460732193,"[1135634, 8015407]"
40509600025,"[918853, 1082185]"
40509601754,[1022254]
40510111683,"[866950, 1082185]"
40545161178,"[879755, 944256, 997011, 1038981]"
40630512016,[12263604]
40715326520,"[825343, 851779, 1119860, 8015407, 13093050]"
40727321491,[937626]
40800495350,[993638]
40852950040,"[900667, 1032334, 1082185]"
40864920398,[926587]
40955367737,"[835098, 860776, 863447, 910032, 940700, 986947, 1007195, 1026748, 1033220, 1037337, 1051516, 1076881, 1082185, 1093432, 1098248, 10284931, 13002975, 16769965]"
41008262104,"[834067, 937626, 1049535, 1077555]"
41062687169,[1068719]
41124445007,"[835300, 932242, 13876344]"
41125072412,"[825343, 1033220, 1037863, 1084036]"
41225201055,"[840361, 1082185]"
41260176860,"[934639, 1119761]"
41297718790,[1011832]
